iter	Passed	Remaining
749	12557	20929
750	12572	20910
751	12588	20892
752	12604	20874
753	12619	20854
754	12634	20835
755	12651	20817
756	12666	20798
757	12681	20779
758	12698	20761
759	12715	20746
760	12732	20729
761	12749	20713
762	12765	20695
763	12783	20681
764	12801	20667
765	12819	20651
766	12843	20646
767	12860	20630
768	12877	20613
769	12893	20595
770	12909	20577
771	12924	20558
772	12941	20541
773	12957	20524
774	12972	20504
775	12988	20486
776	13004	20468
777	13019	20449
778	13034	20430
779	13051	20413
780	13067	20396
781	13082	20377
782	13098	20359
783	13115	20341
784	13130	20323
785	13148	20307
786	13165	20291
787	13181	20273
788	13198	20258
789	13216	20242
790	13234	20228
791	13254	20216
792	13272	20202
793	13291	20189
794	13310	20174
795	13327	20159
796	13344	20141
797	13360	20125
798	13378	20109
799	13395	20093
800	13418	20085
801	13434	20068
802	13451	20051
803	13467	20034
804	13484	20017
805	13502	20001
806	13520	19987
807	13537	19971
808	13555	19956
809	13571	19938
810	13588	19922
811	13605	19905
812	13622	19888
813	13640	19874
814	13659	19860
815	13679	19848
816	13696	19832
817	13714	19817
818	13733	19803
819	13749	19785
820	13767	19770
821	13785	19755
822	13802	19739
823	13819	19722
824	13837	19707
825	13854	19691
826	13872	19675
827	13888	19658
828	13906	19642
829	13924	19627
830	13941	19611
831	13957	19593
832	13976	19580
833	13993	19564
834	14010	19547
835	14025	19527
836	14040	19509
837	14056	19490
838	14072	19473
839	14092	19461
840	14107	19441
841	14121	19421
842	14136	19402
843	14151	19383
844	14168	19366
845	14184	19348
846	14199	19328
847	14214	19310
848	14229	19291
849	14244	19271
850	14258	19252
851	14273	19232
852	14288	19213
853	14304	19195
854	14319	19176
855	14334	19157
856	14348	19137
857	14362	19116
858	14376	19096
859	14391	19077
860	14407	19058
861	14422	19040
862	14437	19021
863	14452	19002
864	14467	18983
865	14482	18964
866	14498	18947
867	14512	18927
868	14526	18906
869	14541	18886
870	14556	18867
871	14570	18847
872	14585	18828
873	14600	18809
874	14614	18790
875	14629	18771
876	14644	18752
877	14659	18733
878	14674	18715
879	14701	18710
880	14735	18716
881	14763	18714
882	14784	18702
883	14804	18689
884	14823	18675
885	14838	18656
886	14853	18638
887	14869	18620
888	14886	18603
889	14901	18584
890	14918	18568
891	14934	18550
892	14949	18531
893	14965	18514
894	14982	18497
895	14997	18478
896	15012	18460
897	15029	18443
898	15044	18425
899	15059	18406
900	15075	18388
901	15091	18371
902	15107	18352
903	15123	18335
904	15139	18318
905	15154	18299
906	15170	18282
907	15188	18266
908	15204	18248
909	15220	18231
910	15236	18213
911	15252	18195
912	15267	18177
913	15283	18160
914	15299	18141
915	15314	18123
916	15333	18109
917	15348	18090
918	15362	18070
919	15376	18051
920	15391	18031
921	15406	18013
922	15422	17995
923	15437	17976
924	15451	17957
925	15467	17939
926	15483	17922
927	15499	17904
928	15514	17885
929	15530	17867
930	15546	17850
931	15562	17833
932	15578	17816
933	15594	17799
934	15610	17781
935	15626	17763
936	15643	17746
937	15659	17729
938	15676	17713
939	15692	17695
940	15707	17677
941	15722	17658
942	15738	17641
943	15754	17623
944	15770	17605
945	15785	17587
946	15801	17569
947	15817	17552
948	15834	17536
949	15850	17518
950	15865	17500
951	15882	17483
952	15897	17466
953	15913	17447
954	15928	17429
955	15945	17413
956	15960	17394
957	15976	17377
958	15995	17363
959	16014	17349
960	16033	17335
961	16052	17321
962	16070	17305
963	16090	17292
964	16106	17275
965	16125	17260
966	16142	17244
967	16159	17227
968	16177	17212
969	16195	17197
970	16212	17181
971	16228	17163
972	16245	17146
973	16262	17131
974	16278	17113
975	16296	17098
976	16312	17080
977	16331	17066
978	16348	17049
979	16366	17034
980	16382	17016
981	16399	17000
982	16416	16984
983	16433	16967
984	16453	16954
985	16470	16938
986	16488	16922
987	16504	16905
988	16520	16887
989	16535	16870
990	16552	16852
991	16567	16835
992	16584	16817
993	16601	16801
994	16617	16784
995	16634	16768
996	16652	16752
997	16670	16736
998	16686	16720
999	16703	16703
1000	16719	16686
1001	16739	16672
1002	16762	16661
1003	16780	16647
1004	16797	16630
1005	16814	16614
1006	16832	16598
1007	16850	16582
1008	16867	16566
1009	16883	16548
1010	16900	16532
1011	16916	16515
1012	16931	16496
1013	16947	16479
1014	16964	16463
1015	16981	16447
1016	16998	16430
1017	17016	16414
1018	17032	16397
1019	17048	16379
1020	17064	16362
1021	17080	16345
1022	17096	16327
1023	17111	16309
1024	17128	16292
1025	17145	16276
1026	17162	16260
1027	17178	16242
1028	17192	16223
1029	17208	16205
1030	17223	16187
1031	17239	16170
1032	17255	16152
1033	17270	16134
1034	17284	16115
1035	17298	16096
1036	17314	16078
1037	17331	16062
1038	17346	16044
1039	17364	16028
1040	17380	16011
1041	17395	15993
1042	17411	15975
1043	17427	15958
1044	17444	15941
1045	17461	15925
1046	17476	15907
1047	17491	15889
1048	17507	15871
1049	17523	15854
1050	17539	15837
1051	17556	15821
1052	17572	15803
1053	17589	15787
1054	17605	15769
1055	17620	15751
1056	17636	15734
1057	17652	15717
1058	17669	15700
1059	17684	15682
1060	17700	15665
1061	17716	15647
1062	17731	15629
1063	17746	15611
1064	17763	15595
1065	17782	15580
1066	17806	15570
1067	17821	15551
1068	17836	15533
1069	17853	15517
1070	17868	15499
1071	17883	15481
1072	17899	15464
1073	17916	15447
1074	17932	15430
1075	17950	15414
1076	17967	15398
1077	17985	15382
1078	18003	15366
1079	18019	15349
1080	18034	15332
1081	18050	15314
1082	18067	15298
1083	18082	15280
1084	18098	15262
1085	18115	15246
1086	18130	15228
1087	18146	15210
1088	18164	15195
1089	18181	15179
1090	18200	15164
1091	18218	15148
1092	18237	15134
1093	18257	15120
1094	18275	15104
1095	18293	15088
1096	18310	15072
1097	18327	15055
1098	18345	15040
1099	18364	15025
1100	18382	15010
1101	18399	14993
1102	18424	14983
1103	18442	14967
1104	18460	14952
1105	18477	14935
1106	18496	14921
1107	18515	14905
1108	18531	14888
1109	18547	14871
1110	18564	14854
1111	18580	14837
1112	18598	14822
1113	18617	14807
1114	18634	14790
1115	18650	14773
1116	18667	14756
1117	18683	14739
1118	18700	14723
1119	18717	14706
1120	18733	14689
1121	18752	14674
1122	18769	14658
1123	18785	14640
1124	18801	14623
1125	18819	14607
1126	18836	14590
1127	18852	14574
1128	18868	14556
1129	18890	14544
1130	18907	14527
1131	18924	14510
1132	18940	14494
1133	18957	14477
1134	18972	14458
1135	18987	14440
1136	19003	14424
1137	19019	14406
1138	19037	14390
1139	19052	14372
1140	19066	14354
1141	19080	14335
1142	19094	14317
1143	19108	14298
1144	19123	14279
1145	19137	14261
1146	19151	14242
1147	19166	14224
1148	19182	14207
1149	19197	14189
1150	19211	14170
1151	19225	14151
1152	19240	14134
1153	19255	14116
1154	19271	14098
1155	19286	14081
1156	19301	14063
1157	19315	14044
1158	19329	14026
1159	19344	14007
1160	19358	13989
1161	19372	13971
1162	19388	13953
1163	19403	13935
1164	19417	13917
1165	19431	13899
1166	19446	13880
1167	19461	13862
1168	19476	13844
1169	19490	13826
1170	19505	13808
1171	19520	13791
1172	19534	13772
1173	19550	13755
